CoolingRate, Energy, Time(s)
0.9999,6.3,343.65
0.9909,7.55,2.75
0.9819,8.9,1.1
0.9729,9.85,1.05
0.9639,10.6,0.15
0.9549,10.55,0.3
0.9459,13.5,0.05
0.9369,14.95,0.05
0.9279,16.1,0
0.9189,14.6,0.05
0.9099,16.2,0
0.9009,17.55,0
0.8919,16.85,0
0.8829,17.4,0
0.8739,21.45,0.05
0.8649,22.95,0
0.8559,22.55,0
0.8469,20.4,0
0.8379,23.6,0
0.8289,26.25,0
0.8199,22.2,0
0.8109,24.65,0
0.8019,23.15,0
0.7929,29.35,0
0.7839,27.6,0
0.7749,24.5,0
0.7659,28.4,0
0.7569,27.1,0
0.7479,29.25,0
0.7389,27.4,0
0.7299,27.55,0
0.7209,34.35,0
0.7119,32.15,0
0.7029,32.45,0
0.6939,35.7,0
0.6849,32.5,0
0.6759,35.15,0
0.6669,31.9,0
0.6579,31.55,0
0.6489,39.5,0
0.6399,39.65,0
0.6309,38,0
0.6219,36.8,0
0.6129,40.05,0
0.6039,39.8,0
0.5949,36.8,0
0.5859,40.3,0
0.5769,36,0
0.5679,42.7,0
0.5589,48.75,0
0.5499,43.8,0
0.5409,37.65,0
0.5319,43.3,0
0.5229,34.9,0
0.5139,47.65,0
0.5049,48.45,0
0.4959,1044.1,0
0.4869,39,0
0.4779,42.55,0
0.4689,42.95,0
0.4599,40.9,0
0.4509,41.85,0
0.4419,43.15,0
0.4329,48.85,0
0.4239,47.75,0
0.4149,45.7,0
0.4059,46.7,0
0.3969,48.95,0
0.3879,52.6,0
0.3789,46.9,0
0.3699,1044.25,0
0.3609,47.7,0
0.3519,49.15,0
0.3429,49.95,0
0.3339,1049.4,0
0.3249,1052.7,0
0.3159,54.25,0
0.3069,48,0
0.2979,43.7,0
0.2889,48.5,0
0.2799,51.05,0
0.2709,53.1,0
0.2619,55.35,0.1
0.2529,42,0
0.2439,1049.7,0
0.2349,2054.55,0
0.2259,1053.3,0.05
0.2169,43.4,0
0.2079,1042.6,0
0.1989,1551.15,0
0.1899,4054.1,0
0.1809,2067,0
0.1719,1047.75,0
0.1629,1044.8,0
0.1539,45.15,0
0.1449,1552.45,0
0.1359,1060.8,0
0.1269,48.2,0
0.1179,2054.3,0
0.1089,62.7,0
