CoolingRate, Energy, Time(s)
0.9999,6.15,332.3
0.9909,7.8,3.25
0.9819,10.2,1.15
0.9729,10.4,1
0.9639,11.2,0.1
0.9549,12,0
0.9459,13.55,0
0.9369,14.05,0
0.9279,16.05,0
0.9189,16.6,0
0.9099,16.65,0
0.9009,19.65,0
0.8919,20.75,0
0.8829,19,0
0.8739,21.6,0
0.8649,19.3,0
0.8559,20,0
0.8469,24.8,0
0.8379,24.6,0
0.8289,24.55,0
0.8199,24.7,0
0.8109,25.15,0
0.8019,23.7,0
0.7929,27.15,0
0.7839,24.2,0
0.7749,26.8,0
0.7659,23.35,0
0.7569,28.3,0
0.7479,32.5,0
0.7389,30.65,0
0.7299,30.8,0
0.7209,31.35,0
0.7119,33.45,0
0.7029,32.1,0
0.6939,29.95,0
0.6849,31.85,0
0.6759,30.45,0
0.6669,35.65,0
0.6579,35.05,0
0.6489,30.5,0
0.6399,34.5,0
0.6309,35.95,0
0.6219,34.1,0
0.6129,38.65,0
0.6039,38.95,0
0.5949,36.6,0
0.5859,38.55,0
0.5769,38.7,0
0.5679,42.7,0
0.5589,42.25,0
0.5499,41.75,0
0.5409,1038.65,0
0.5319,41.5,0
0.5229,42.75,0
0.5139,46.9,0
0.5049,36.1,0
0.4959,44.55,0
0.4869,46.7,0
0.4779,50.35,0
0.4689,41.45,0
0.4599,47.8,0
0.4509,46,0
0.4419,1039.95,0
0.4329,47.95,0
0.4239,46.25,0
0.4149,43.6,0
0.4059,1037.15,0
0.3969,46.4,0
0.3879,42.1,0
0.3789,49.7,0
0.3699,1053.55,0
0.3609,49.9,0
0.3519,1053.55,0
0.3429,49,0
0.3339,48.95,0
0.3249,52.2,0
0.3159,53.55,0
0.3069,53.25,0
0.2979,61.5,0
0.2889,1054.65,0
0.2799,1055.8,0
0.2709,47.35,0
0.2619,51.7,0
0.2529,55.5,0
0.2439,59,0
0.2349,50.5,0
0.2259,51.6,0
0.2169,59.35,0
0.2079,1554,0
0.1989,55.8,0
0.1899,1560.45,0
0.1809,57.8,0
0.1719,1044.75,0
0.1629,1048.5,0
0.1539,57.45,0
0.1449,2552.75,0
0.1359,2067,0
0.1269,1057.8,0
0.1179,1056.35,0
0.1089,54.15,0
