CoolingRate, Energy, Time(s)
1e+06,7.8,4
990001,7.2,3.3
980001,8.4,2.3
970001,8.9,2
960001,7.9,2.5
950001,8.1,3.1
940001,8.4,3
930001,9,3
920001,7.8,3.2
910001,8.5,3.2
900001,7.9,2.2
890001,8.1,2
880001,8,2
870001,8,2.5
860001,7.6,3.1
850001,8.4,3
840001,7.9,3
830001,8.2,3
820001,7.4,2.7
810001,7.6,3
800001,8.1,2.4
790001,7.3,2
780001,9.1,2
770001,8.1,2
760001,7.8,2.2
750001,7.8,2.1
740001,8.4,2.2
730001,7.6,2
720001,8.6,2.4
710001,8,3
700001,7.7,2.5
690001,7.4,2
680001,7.8,2
670001,7.2,2.4
660001,8.2,3.1
650001,8.1,3
640001,7.4,2.7
630001,8.3,2
620001,7.7,2
610001,7.7,2
600001,8.2,2
590001,7.5,2
580001,8.3,2.3
570001,8,2.1
560001,7,3.8
550001,8,2.3
540001,7.7,2.2
530001,8,2.4
520001,8.1,2.8
510001,8.1,2.1
500001,8,2.1
490001,8.3,2.2
480001,7.9,2.1
470001,7.4,2
460001,8.2,2
450001,8.4,2
440001,7,2.3
430001,8.1,2.3
420001,7.6,2.2
410001,7.9,2
400001,8.2,2
390001,7.7,2
380001,8.2,2.1
370001,8.1,2
360001,8.4,2.7
350001,7.6,2.9
340001,7.5,3
330001,8.2,3
320001,8.1,3
310001,7.4,3
300001,7.7,3
290001,7.4,2.9
280001,8.9,2.8
270001,8.5,2.5
260001,7.2,2.6
250001,7.2,2.8
240001,9.1,2.4
230001,7.3,2.5
220001,8.3,3.3
210001,8.4,3.2
200001,8.8,2.1
190001,8.2,2
180001,7.4,2
170001,8.1,2
160001,8.6,2.5
150001,7.7,2.5
140001,8.3,2.2
130001,7.8,2
120001,8.4,2.2
110001,7.9,2.2
100001,8.1,2.1
90001,8,2
80001,7.7,2
70001,7.6,2.1
60001,7.8,2.1
50001,8.6,2
40001,8.2,2
30001,7.3,2.1
20001,7.6,2.1
10001,7.8,2
